repo,pr,type,added,churned,events,ratio
antiwork/flexile,377,AI,19,7,2,0.3684210526315789
antiwork/flexile,373,Human,525,238,61,0.4533333333333333
antiwork/flexile,359,AI,17,17,14,1.0
antiwork/flexile,399,Human,704,245,39,0.34801136363636365
antiwork/flexile,289,AI,184,183,9,0.9945652173913043
antiwork/flexile,164,Human,13,13,3,1.0
antiwork/flexile,180,AI,199,199,10,1.0
antiwork/flexile,228,Human,323,320,69,0.9907120743034056
antiwork/flexile,99,AI,1,1,1,1.0
antiwork/flexile,144,Human,27,27,2,1.0
antiwork/flexile,447,AI,1,1,3,1.0
antiwork/flexile,414,Human,1,0,0,0.0
antiwork/flexile,301,AI,110,69,22,0.6272727272727273
antiwork/flexile,194,Human,208,186,29,0.8942307692307693
antiwork/flexile,256,AI,5,5,5,1.0
antiwork/flexile,90,Human,1756,1711,167,0.974373576309795
antiwork/flexile,278,Human,335,166,29,0.4955223880597015
antiwork/flexile,246,AI,260,260,17,1.0
antiwork/flexile,157,Human,49,49,12,1.0
antiwork/flexile,328,AI,11,3,26,0.2727272727272727
antiwork/flexile,290,Human,178,160,46,0.898876404494382
antiwork/flexile,104,AI,46,46,4,1.0
antiwork/flexile,74,Human,279,151,86,0.5412186379928315
antiwork/flexile,357,AI,38,23,19,0.6052631578947368
antiwork/flexile,293,Human,24,24,8,1.0
antiwork/flexile,402,AI,22,22,1,1.0
antiwork/flexile,404,Human,13,8,26,0.6153846153846154
GlareDB/glaredb,3532,AI,179,179,5,1.0
GlareDB/glaredb,3503,Human,100,100,63,1.0
GlareDB/glaredb,3528,AI,126,126,6,1.0
GlareDB/glaredb,3499,Human,344,250,60,0.7267441860465116
GlareDB/glaredb,3769,AI,127,10,2,0.07874015748031496
GlareDB/glaredb,3897,Human,373,360,39,0.9651474530831099
GlareDB/glaredb,3577,AI,37,4,4,0.10810810810810811
GlareDB/glaredb,3642,Human,37,6,2,0.16216216216216217
GlareDB/glaredb,3552,AI,157,82,5,0.5222929936305732
GlareDB/glaredb,3475,Human,1198,341,125,0.2846410684474123
GlareDB/glaredb,3575,AI,176,71,3,0.4034090909090909
GlareDB/glaredb,3592,Human,1250,383,186,0.3064
GlareDB/glaredb,3574,AI,162,57,4,0.35185185185185186
GlareDB/glaredb,3704,Human,64,20,5,0.3125
GlareDB/glaredb,3529,AI,129,129,6,1.0
GlareDB/glaredb,3684,Human,353,198,17,0.5609065155807366
GlareDB/glaredb,3633,AI,646,192,18,0.29721362229102166
GlareDB/glaredb,3767,Human,46,5,5,0.10869565217391304
onlook-dev/onlook,2127,AI,17,3,3,0.17647058823529413
onlook-dev/onlook,2103,Human,5718,1245,113,0.21773347324239245
onlook-dev/onlook,2091,AI,19,19,5,1.0
onlook-dev/onlook,1839,Human,432,405,172,0.9375
onlook-dev/onlook,2169,AI,365,284,17,0.7780821917808219
onlook-dev/onlook,2288,Human,383,326,140,0.8511749347258486
onlook-dev/onlook,2074,AI,217,119,13,0.5483870967741935
onlook-dev/onlook,2190,Human,4,1,3,0.25
onlook-dev/onlook,2479,AI,13,2,6,0.15384615384615385
onlook-dev/onlook,2286,Human,96,67,52,0.6979166666666666
onlook-dev/onlook,1854,AI,28,2,2,0.07142857142857142
onlook-dev/onlook,2173,Human,1557,1069,61,0.6865767501605652
onlook-dev/onlook,1446,AI,21,21,9,1.0
onlook-dev/onlook,1232,Human,2,0,1,0.0
onlook-dev/onlook,2093,AI,72,12,26,0.16666666666666666
onlook-dev/onlook,1950,Human,923,495,80,0.5362946912242686
onlook-dev/onlook,1277,AI,102,11,20,0.10784313725490197
onlook-dev/onlook,1072,Human,1124,418,70,0.3718861209964413
onlook-dev/onlook,1387,AI,195,189,52,0.9692307692307692
onlook-dev/onlook,1124,Human,192,42,23,0.21875
onlook-dev/onlook,1386,AI,605,605,10,1.0
onlook-dev/onlook,1456,Human,4,4,3,1.0
oven-sh/bun,20698,AI,4,1,1,0.25
oven-sh/bun,20309,Human,2,1,0,0.5
oven-sh/bun,19987,AI,62,0,1,0.0
oven-sh/bun,19467,Human,2,1,12,0.5
oven-sh/bun,19766,AI,187,1,1,0.0053475935828877
oven-sh/bun,19255,Human,3,3,1,1.0
oven-sh/bun,19353,Human,184,184,61,1.0
oven-sh/bun,19800,AI,871,73,18,0.08381171067738231
oven-sh/bun,19277,Human,840,78,25,0.09285714285714286
oven-sh/bun,20198,AI,1387,152,22,0.1095890410958904
oven-sh/bun,19642,Human,92,8,3,0.08695652173913043
oven-sh/bun,20577,AI,37,0,0,0.0
oven-sh/bun,19896,Human,46,1,0,0.021739130434782608
oven-sh/bun,19966,AI,73,0,0,0.0
oven-sh/bun,19623,Human,2,0,1,0.0
oven-sh/bun,19283,Human,19,3,2,0.15789473684210525
oven-sh/bun,20062,AI,40,0,0,0.0
oven-sh/bun,20102,Human,26,0,0,0.0
oven-sh/bun,20295,AI,3,0,0,0.0
oven-sh/bun,20652,Human,121,5,2,0.04132231404958678
oven-sh/bun,20648,Human,45,1,0,0.022222222222222223
bionic-gpt/bionic-gpt,952,AI,8,0,0,0.0
bionic-gpt/bionic-gpt,887,Human,339,18,5,0.05309734513274336
bionic-gpt/bionic-gpt,877,AI,52,11,5,0.21153846153846154
bionic-gpt/bionic-gpt,895,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,848,AI,65,42,5,0.6461538461538462
bionic-gpt/bionic-gpt,890,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,788,AI,7,0,1,0.0
bionic-gpt/bionic-gpt,774,Human,611,541,53,0.8854337152209493
bionic-gpt/bionic-gpt,954,AI,20,0,0,0.0
bionic-gpt/bionic-gpt,893,Human,32,0,1,0.0
bionic-gpt/bionic-gpt,833,AI,46,12,6,0.2608695652173913
bionic-gpt/bionic-gpt,891,Human,195,23,9,0.11794871794871795
bionic-gpt/bionic-gpt,853,AI,185,30,10,0.16216216216216217
bionic-gpt/bionic-gpt,886,Human,119,0,0,0.0
bionic-gpt/bionic-gpt,908,AI,246,1,8,0.0040650406504065045
bionic-gpt/bionic-gpt,897,Human,29,2,2,0.06896551724137931
bionic-gpt/bionic-gpt,917,AI,57,0,1,0.0
bionic-gpt/bionic-gpt,843,Human,128,20,6,0.15625
bionic-gpt/bionic-gpt,838,AI,4,0,0,0.0
bionic-gpt/bionic-gpt,807,Human,1930,1027,57,0.5321243523316063
bionic-gpt/bionic-gpt,849,AI,9,0,0,0.0
bionic-gpt/bionic-gpt,885,Human,67,12,6,0.1791044776119403
bionic-gpt/bionic-gpt,951,AI,3,0,0,0.0
bionic-gpt/bionic-gpt,918,AI,2,0,0,0.0
bionic-gpt/bionic-gpt,804,Human,885,263,69,0.29717514124293787
bionic-gpt/bionic-gpt,840,AI,10,0,0,0.0
bionic-gpt/bionic-gpt,770,Human,48,47,2,0.9791666666666666
bionic-gpt/bionic-gpt,847,AI,31,18,1,0.5806451612903226
bionic-gpt/bionic-gpt,767,Human,131,88,26,0.6717557251908397
bionic-gpt/bionic-gpt,893,AI,32,0,1,0.0
bionic-gpt/bionic-gpt,775,Human,42,4,9,0.09523809523809523
dotnet/aspire,10064,AI,81,1,2,0.012345679012345678
dotnet/aspire,10104,Human,1,0,0,0.0
dotnet/aspire,10111,AI,160,42,57,0.2625
dotnet/aspire,9779,Human,167,1,1,0.005988023952095809
dotnet/aspire,9814,AI,47,3,4,0.06382978723404255
dotnet/aspire,9369,Human,29,29,7,1.0
dotnet/aspire,9776,AI,1,0,0,0.0
dotnet/aspire,9264,Human,53,0,0,0.0
dotnet/aspire,9875,AI,73,64,16,0.8767123287671232
dotnet/aspire,10095,Human,5,0,0,0.0
dotnet/aspire,9509,AI,87,23,9,0.26436781609195403
dotnet/aspire,8995,Human,20,20,5,1.0
dotnet/aspire,9597,AI,647,20,11,0.030911901081916538
dotnet/aspire,9191,Human,56,9,3,0.16071428571428573
dotnet/aspire,9600,AI,251,11,8,0.043824701195219126
dotnet/aspire,9108,Human,66,5,1,0.07575757575757576
dotnet/aspire,9721,AI,1,0,0,0.0
dotnet/aspire,9159,Human,68,32,11,0.47058823529411764
dotnet/aspire,9491,AI,1,1,1,1.0
dotnet/aspire,8985,Human,10,3,1,0.3
dotnet/aspire,9676,AI,958,417,59,0.4352818371607516
dotnet/aspire,9133,Human,142,0,0,0.0
dotnet/aspire,9400,AI,120,85,22,0.7083333333333334
dotnet/aspire,8892,Human,488,122,46,0.25
mendableai/firecrawl,1742,AI,2,1,1,0.5
mendableai/firecrawl,1719,Human,37,37,1,1.0
